"Country_ID","Country","Population","Region","Development"
1,"Australia","Australia/New Zealand","Western Pacific","More developed regions"
2,"Belarus","Eastern Europe","Europe","More developed regions"
3,"Brazil","South America","Americas","Less developed regions"
4,"Canada","Northern America","Americas","More developed regions"
5,"Chile","South America","Americas","Less developed regions"
6,"China","Eastern Asia","Asia","Less developed regions"
7,"China, Hong-Kong","Eastern Asia","Asia","More developed regions"
8,"Egypt","Northern Africa","Africa","Less developed regions"
9,"Europe, NOS","Europe, NOS","Europe","More developed regions"
10,"Austria","Western Europe","Europe","More developed regions"
11,"Belgium","Western Europe","Europe","More developed regions"
12,"Croatia","Southern Europe","Europe","More developed regions"
13,"Denmark","Northern Europe","Europe","More developed regions"
14,"Finland","Northern Europe","Europe","More developed regions"
15,"France","Western Europe","Europe","More developed regions"
16,"Germany","Western Europe","Europe","More developed regions"
17,"Greece","Southern Europe","Europe","More developed regions"
18,"Ireland","Northern Europe","Europe","More developed regions"
19,"Italy","Southern Europe","Europe","More developed regions"
20,"Luxembourg","Western Europe","Europe","More developed regions"
21,"Norway","Northern Europe","Europe","More developed regions"
22,"Poland","Eastern Europe","Europe","More developed regions"
23,"Portugal","Southern Europe","Europe","More developed regions"
24,"Spain","Southern Europe","Europe","More developed regions"
25,"Sweden","Northern Europe","Europe","More developed regions"
26,"Switzerland","Western Europe","Europe","More developed regions"
27,"The Netherlands","Western Europe","Europe","More developed regions"
28,"Turkey","Western Asia","Asia","Less developed regions"
29,"UK","Northern Europe","Europe","More developed regions"
30,"Ukraine","Eastern Europe","Europe","More developed regions"
31,"Iceland","Northern Europe","Europe","More developed regions"
32,"India","South Central Asia","Asia","Less developed regions"
33,"Indonesia","South Eastern Asia","Asia","Less developed regions"
34,"Iran","Western Asia","Asia","Less developed regions"
35,"Israel","Western Asia","Asia","Less developed regions"
36,"Japan","Eastern Asia","Asia","More developed regions"
37,"Korea","Eastern Asia","Asia","Less developed regions"
38,"Mexico","Central America","Americas","Less developed regions"
39,"Mozambique","Eastern Africa","Africa","Less developed regions"
40,"New Zealand","Australia/New Zealand","Western Pacific","More developed regions"
41,"Papua New Guinea","Melanesia","Western Pacific","Less developed regions"
43,"Saudi Arabia","Western Asia","Asia","Less developed regions"
44,"Northern Europe, NOS","Northern Europe","Europe","More developed regions"
45,"Senegal","Western Africa","Africa","Less developed regions"
46,"Singapore","South Eastern Asia","Asia","Less developed regions"
47,"South Africa","Southern Africa","Africa","Less developed regions"
48,"Sri Lanka","South Central Asia","Asia","Less developed regions"
49,"Sudan","Northern Africa","Africa","Less developed regions"
50,"Chinese Taipei (Taiwan)","South Eastern Asia","Asia","Less developed regions"
51,"Thailand","South Eastern Asia","Asia","Less developed regions"
52,"Tunisia","Northern Africa","Africa","Less developed regions"
53,"Uruguay","South America","Americas","Less developed regions"
54,"USA","Northern America","Americas","More developed regions"
55,"Hungary","Eastern Europe","Europe","More developed regions"
56,"Northern America, NOS","Northern America","Americas","More developed regions"
57,"Western Europe, NOS","Western Europe","Europe","More developed regions"
58,"Czech Republic","Eastern Europe","Europe","More developed regions"
59,"Argentina","South America","Americas","Less developed regions"
60,"Northern Africa, NOS","Northern Africa","Africa","Less developed regions"
61,"Eastern Europe, NOS","Eastern Europe","Europe","More developed regions"
62,"Slovakia","Eastern Europe","Europe","More developed regions"
63,"Algeria","Northern Africa","Africa","Less developed regions"
64,"Bangladesh","South Central Asia","Asia","Less developed regions"
65,"Benin","Western Africa","Africa","Less developed regions"
66,"Bolivia","South America","Americas","Less developed regions"
67,"Colombia","South America","Americas","Less developed regions"
68,"Cuba","Caribbean","Americas","Less developed regions"
69,"Estonia","Northern Europe","Europe","More developed regions"
70,"Gambia","Western Africa","Africa","Less developed regions"
71,"Ghana","Western Africa","Africa","Less developed regions"
72,"Guinea","Western Africa","Africa","Less developed regions"
73,"Kenya","Eastern Africa","Africa","Less developed regions"
74,"Mali","Western Africa","Africa","Less developed regions"
75,"Morocco","Northern Africa","Africa","Less developed regions"
76,"Nigeria","Western Africa","Africa","Less developed regions"
77,"Panama","Central America","Americas","Less developed regions"
78,"Paraguay","South America","Americas","Less developed regions"
79,"Peru","South America","Americas","Less developed regions"
80,"Philippines","South Eastern Asia","Asia","Less developed regions"
81,"Romania","Eastern Europe","Europe","More developed regions"
82,"Russia","Eastern Europe","Europe","More developed regions"
83,"Tanzania","Eastern Africa","Africa","Less developed regions"
84,"Uganda","Eastern Africa","Africa","Less developed regions"
85,"NA","NA","NA","NA"
86,"Venezuela","South America","Americas","Less developed regions"
87,"Vietnam","South Eastern Asia","Asia","Less developed regions"
88,"Albania","Southern Europe","Europe","More developed regions"
89,"Azerbaijan","Western Asia","Asia","Less developed regions"
90,"Palestinian Occupied Territory","Western Asia","Asia","Less developed regions"
91,"Afghanistan","South Central Asia","Asia","Less developed regions"
92,"American Samoa","Polynesia","Western Pacific","Less developed regions"
93,"Angola","Middle Africa","Africa","Less developed regions"
94,"Antigua And Barbuda","Caribbean","Americas","Less developed regions"
95,"Bahamas","Caribbean","Americas","Less developed regions"
96,"Bahrain","Western Asia","Asia","Less developed regions"
97,"Armenia","Western Asia","Asia","Less developed regions"
98,"Barbados","Caribbean","Americas","Less developed regions"
99,"Bhutan","South Central Asia","Asia","Less developed regions"
100,"Bosnia And Herzegovina","Southern Europe","Europe","More developed regions"
101,"Botswana","Southern Africa","Africa","Less developed regions"
102,"Belize","Central America","Americas","Less developed regions"
103,"Solomon Islands","Melanesia","Western Pacific","Less developed regions"
104,"Brunei Darussalam","South Eastern Asia","Asia","Less developed regions"
105,"Bulgaria","Eastern Europe","Europe","More developed regions"
106,"Myanmar","South Eastern Asia","Asia","Less developed regions"
107,"Burundi","Eastern Africa","Africa","Less developed regions"
108,"Cambodia","South Eastern Asia","Asia","Less developed regions"
109,"Cameroon","Middle Africa","Africa","Less developed regions"
110,"Cape Verde","Western Africa","Africa","Less developed regions"
111,"Cayman Islands","Caribbean","Americas","Less developed regions"
112,"Central African Republic","Middle Africa","Africa","Less developed regions"
113,"Chad","Middle Africa","Africa","Less developed regions"
114,"Comoros","Eastern Africa","Africa","Less developed regions"
115,"Congo","Middle Africa","Africa","Less developed regions"
116,"Cook Islands","Polynesia","Western Pacific","Less developed regions"
117,"Costa Rica","Central America","Americas","Less developed regions"
118,"Cyprus","Western Asia","Asia","Less developed regions"
119,"Dominica","Caribbean","Americas","Less developed regions"
120,"Ecuador","South America","Americas","Less developed regions"
121,"El Salvador","Central America","Americas","Less developed regions"
122,"Ethiopia","Eastern Africa","Africa","Less developed regions"
123,"Eritrea","Eastern Africa","Africa","Less developed regions"
124,"Fiji","Melanesia","Western Pacific","Less developed regions"
125,"French Guyana","South America","Americas","Less developed regions"
126,"French Polynesia","Polynesia","Western Pacific","Less developed regions"
127,"France, La Reunion","Eastern Africa","Africa","Less developed regions"
128,"Djibouti","Eastern Africa","Africa","Less developed regions"
129,"Gabon","Middle Africa","Africa","Less developed regions"
130,"Georgia","Western Asia","Asia","Less developed regions"
131,"Kiribati","Micronesia","Western Pacific","Less developed regions"
132,"Grenada","Caribbean","Americas","Less developed regions"
133,"France, Guadeloupe","Caribbean","Americas","Less developed regions"
134,"Guam","Micronesia","Western Pacific","Less developed regions"
135,"Guatemala","Central America","Americas","Less developed regions"
136,"Guyana","South America","Americas","Less developed regions"
137,"Haiti","Caribbean","Americas","Less developed regions"
138,"Honduras","Central America","Americas","Less developed regions"
139,"Iraq","Western Asia","Asia","Less developed regions"
140,"Cote D'ivoire","Western Africa","Africa","Less developed regions"
141,"Jamaica","Caribbean","Americas","Less developed regions"
142,"Kazakhstan","South Central Asia","Asia","Less developed regions"
143,"Jordan","Western Asia","Asia","Less developed regions"
144,"Kuwait","Western Asia","Asia","Less developed regions"
145,"Kyrgyzstan","South Central Asia","Asia","Less developed regions"
146,"Lao People's Democratic Republic","South Eastern Asia","Asia","Less developed regions"
147,"Lebanon","Western Asia","Asia","Less developed regions"
148,"Lesotho","Southern Africa","Africa","Less developed regions"
149,"Latvia","Northern Europe","Europe","More developed regions"
150,"Liberia","Western Africa","Africa","Less developed regions"
151,"Libya","Northern Africa","Africa","Less developed regions"
152,"Liechtenstein","Western Europe","Europe","More developed regions"
153,"Lithuania","Northern Europe","Europe","More developed regions"
154,"China, Macau","Eastern Asia","Asia","Less developed regions"
155,"Madagascar","Eastern Africa","Africa","Less developed regions"
156,"Malawi","Eastern Africa","Africa","Less developed regions"
157,"Malaysia","South Eastern Asia","Asia","Less developed regions"
158,"Maldives","South Central Asia","Asia","Less developed regions"
159,"Malta","Southern Europe","Europe","More developed regions"
160,"France, Martinique","Caribbean","Americas","Less developed regions"
