"FRef_ID","Cross_FRef_ID","Title","Authors","Ref_Year","Start_page","Journal","Volume","PubMed","Remark"
1,,"Novel DNA binding of p53 mutants and their role in transcriptional activation","Zhang W;Funk WD;Wright WE;Shay JW;Deisseroth AB;",1993,2555,"Oncogene",8,"8361764",""
2,,"Novel gain of function activity of p53 mutants: activation of the dUTPase gene expression leading to resistance to 5-fluorouracil","Pugacheva EN;Ivanov AV;Kravchenko JE;Kopnin BP;Levine AJ;Chumakov PM;",2002,4595,"Oncogene",21,"12096336",""
3,,"A mutant P53 can activate apoptosis through a mechanism distinct from those induced by wild type P53","He M;Rennie PS;Dragowska V;Nelson CC;Jia W;",2002,151,"FEBS Lett",517,"12062426",""
4,,"Expression of mitotic spindle checkpoint protein hsMAD1 correlates with cellular proliferation and is activated by a gain-of-function p53 mutant","Iwanaga Y;Jeang KT;",2002,2618,"Cancer Res",62,"11980658",""
5,,"An oncogenic form of p53 confers a dominant, gain-of-function phenotype that disrupts spindle checkpoint control","Gualberto A;Aldape K;Kozakiewicz K;Tlsty TD;",1998,5166,"Proc Natl Acad Sci U S A",95,"9560247","Removed data on LFS fibroblasts; NHF = Normal Human Fibroblast"
6,,"Complex functions of mutant p53 alleles from human prostate cancer","Shi XB;Nesslinger NJ;Deitch AD;Gumerlock PH;deVere White RW;",2002,59,"Prostate",51,"11920959",""
7,,"Effects of p53 mutants on wild-type p53-mediated transactivation are cell type dependent","Forrester K;Lupold SE;Ott VL;Chay CH;Band V;Wang XW;Harris CC;",1995,2103,"Oncogene",10,"7784055",""
8,,"Mechanisms of differential activation of target gene promoters by p53 hinge domain mutants with impaired apoptotic function","Kong XT;Gao H;Stanbridge EJ;",2001,32990,"J Biol Chem",276,"11395510",""
9,,"Characterization of p53 mutants identified in human tumors with a missense mutation in the tetramerization domain","Rollenhagen C;Chene P;",1998,372,"Int J Cancer",78,"9766574",""
10,,"Analysis of the most representative tumour-derived p53 mutants reveals that changes in protein conformation are not correlated with loss of transactivation or inhibition of cell proliferation","Ory K;Legros Y;Auguin C;Soussi T;",1994,3496,"EMBO J",13,"8062826",""
11,,"Oncogenic forms of p53 inhibit p53-regulated gene expression","Kern SE;Pietenpol JA;Thiagalingam S;Seymour A;Kinzler KW;Vogelstein B;",1992,827,"Science",256,"1589764",""
