"G_Prevalence_ID","Diagnosis","Cohort","Cases_Analyzed","Cases_mutated","Mutation prevalence (%)","Remark","REF_ID"
1,"Rhabdomyosarcoma","Sporadic cases",33.0,3.0,9.0,"",6
2,"Rhabdomyosarcoma","Sporadic cases  < 4 years old",13.0,3.0,23.0,"",6
3,"LFS","LFS",15.0,8.0,53.3,"",56
4,"LFS","LFS",21.0,15.0,71.5,"",86
5,"LFL-B","LFL-B",18.0,4.0,22.2,"",86
6,"STS","Cases < 16 years old",107.0,9.0,8.4,"",135
7,"Osteosarcoma","Cases < 20 years old",71.0,7.0,9.8,"",135
8,"Breast + Ovary ca.","Probands from families with 4 or more cases of BC or ovarian cancer but negative for commercial genetic test results of BRCA1 and BRCA2",300.0,3.0,1.0,"",155
9,"Sarcoma + Breast ca.","Unrelated individuals from families with one case of sarcoma and at least one case of breast cancer",23.0,3.0,13.0,"Of 3 mutated cases, 1 was LFS and 2 LFL",157
10,"LFS Chompret","French families suggestive of LFS, including 232 families fulfilling Chompret criteria",474.0,82.0,17.3,"",187
11,"Breast ca.","Unrelated women < 30 years old negative for BRCA1/2 mutation, not LFS/LFL",95.0,2.0,2.1,"The 2 cases were silent mutations",204
12,"Family history of various cancer types","Probands having two or more cancers in families with history of various cancer types",122.0,37.0,30.3,"",212
13,"Breast ca.","Women <30 yo, irrespective of family history",52.0,2.0,3.8,"",221
14,"Breast ca.","Women between 30-39 and with two or more 1st or 2nd relatives with BC or OC",42.0,3.0,7.1,"",221
15,"Chompret revised","Chompret revised",105.0,22.0,21.0,"",223
16,"LFS","LFS",11.0,8.0,73.0,"",223
17,"LFL-B","LFL-B",36.0,10.0,28.0,"",223
18,"Brain glioma","Familial glioma",101.0,1.0,1.0,"",232
19,"Breast ca.","Unselected invasive cases (20-60 years)",390.0,2.0,0.5,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",236
20,"Adrenocortical ca.","Pediatric tumors",3.0,1.0,33.3,"",240
21,"Choroid plexus tumor","Pediatric tumors",5.0,0.0,0.0,"",240
22,"Rhabdomyosarcoma","Pediatric tumors",18.0,1.0,50.5,"",240
23,"Endometrial serous carcinoma","Unselected",151.0,2.0,1.3,"",241
24,"Breast ca.","Women < 35 years, BRCA1/2 negative",83.0,5.0,6.0,"",242
25,"Breast ca.","BRCA negative <37 years old",83.0,4.0,4.8,"",242
26,"Sarcoma + Breast ca.","Probands with sarcoma and BC (BC in proband or in a first degree relative) in family not fulfilling LFS",21.0,1.0,4.8,"",245
27,"Breast ca.","Unrelated women < 30 years old with NO family history of cancer",63.0,2.0,3.0,"",246
28,"Breast ca.","Unrelated women with BC < 30 years old with family history (HBCO or LFL)",37.0,2.0,5.0,"",246
29,"Family history of various cancer types","Probands with family history of cancer whose DNA was submitted to genetic testing at City of Hope CMDL",525.0,91.0,17.3,"",247
30,"Breast ca.","Women < 30 years old with no cancer in first- or second-degree relatives",14.0,1.0,7.1,"",247
31,"Breast ca.","Unrelated women < 36 years old with NO family history and negative for BRCA1/2 mutation",128.0,5.0,4.0,"",248
32,"Breast ca.","Unrelated women < 36 years old with family history and negative for BRCA1/2 mutation",161.0,12.0,7.4,"",248
33,"Stomach ca.","Probands with primary gastric cancer in LFL families (only exons 5-8 analyzed)",23.0,0.0,0.0,"",249
34,"Choroid plexus ca.","Choroid plexus carcinomas",18.0,8.0,44.4,"",250
35,"Choroid plexus papilloma","Choroid plexus papilloma",6.0,0.0,0.0,"",250
36,"Adrenocortical ca.","Pediatric tumors",70.0,65.0,93.0,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",251
37,"Choroid plexus ca.","Pediatric tumors",13.0,9.0,69.0,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",251
38,"Osteosarcoma","Pediatric tumors",41.0,3.0,7.0,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",251
39,"Adrenocortical ca.","Unselected cases",53.0,4.0,7.5,"",252
40,"Breast ca.","HER2 positive <51 years old",213.0,3.0,1.4,"",253
41,"Sarcoma","Adult onset",556.0,17.0,3.0,"",255
42,"Breast ca.","Cases < 35 years old",43.0,1.0,2.3,"",256
44,"Breast phyllodes tumors.","Unselected",148.0,8.0,5.4,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",260
45,"Adrenocortical ca.","Adult onset",103.0,4.0,3.9,"",261
46,"Breast + Ovary ca.","BRCA negative HBOC",64.0,0.0,0.0,"only exons 5-8 analyzed",264
47,"Breast ca.","BRCA negative <30 years old",28.0,6.0,21.4,"",265
48,"Breast ca.","included in TP53 genetic testing because of relevant personal and/or family history",109.0,30.0,28.0,"",266
49,"Breast ca.","HER2 positive <51 years old",213.0,3.0,1.4,"",271
50,"Choroid plexus ca.","Cases from a single Institution",22.0,14.0,63.6,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",281
52,"Choroid plexus papilloma","Cases from a single Institution",7.0,0.0,0.0,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",281
53,"Pediatric cancers","Children with cancers",292.0,11.0,3.7,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",283
54,"Breast + Ovary ca.","Patients analyzed in the context of a genetic session and fulfilling criteria for HBOC",708.0,7.0,0.98,"",286
55,"Breast ca.","African-american with BC<45 or history of BC or OV ca.",289.0,1.0,0.35,"",289
56,"Breast ca.","Unrelated women diagnosed with breast cancer that fulfilled the criteria for HBOC genetic testing according to NCCN Clinical Practice Guidelines in Oncology v.1.2010",28.0,2.0,7.1,"",291
57,"Adrenocortical ca.","Children diagnosed with ACT within 5 years after neonatal screening for TP53 R337H variant",13.0,11.0,85.0,"Frequency of ACT differed significantly between newborns negative (two of 171,188) and positive (11 of 461) for the R337H mutation",292
58,"Breast ca.","Cohort of Portuguese women diagnosed with breast cancer, unselected for a family history of the disease.",573.0,0.0,0.0,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",301
59,"Breast ca.","BC affected Brazilian women with a familial history (FH) suggestive of hereditary cancer syndrome but no LFS/LFL features",59.0,2.0,3.4,"",302
60,"Breast ca.","BC affected Brazilian women unselected for cancer FH, diagnosed with BC at or before age 45 or at age 55 or older",815.0,70.0,8.6,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",302
61,"Pancreatic ca.","Cohort of pancreatic cancer",290.0,1.0,0.3,"",303
62,"Ovarian ca.","TCGA exome sequenced cases",429.0,1.0,0.002,"",305
63,"Brain medulloblastoma","Adult SHH-MB cases",49.0,0.0,0.0,"",306
64,"Brain medulloblastoma","Childhood (4-17 years) SHH-MB cases",30.0,9.0,30.0,"",306
65,"Brain medulloblastoma","Infant (<=3 years) SHH-MB cases",50.0,0.0,0.0,"",306
66,"Breast ca.","Consecutive cases of breast cancers submitted to Myriad Genetic Laboratories for
BRCA1/2 testing and not mutated for BRCA1/2",76.0,2.0,2.6,"",308
67,"Breast ca.","BRCA1 and BRCA2 mutation-negative breast and/or ovarian cancer families of French Canadian descent",52.0,2.0,3.8,"",166
68,"Breast ca.","Women with early-onset breast cancer or affected relatives from four breast disease clinical centers in China",240.0,2.0,0.8,"",201
69,"Osteosarcoma","Unselected osteosarcoma cases <30 years old",505.0,48.0,9.5,"",309
70,"Osteosarcoma","Unselected osteosarcoma cases >=30 years old",51.0,0.0,0.0,"",309
71,"Breast ca. & Cutaneous melanoma","Female and male with BC&melanoma or Melanoma&BC",82.0,2.0,2.4,"",164
72,"Adrenocortical ca.","Chidren (<=20 years) with ADC",68.0,34.0,50.0,"",311
73,"Adrenocortical ca.","chidren (<=18 years) with ADC",6.0,3.0,50.0,"",40
74,"Adrenocortical ca.","Chidren <15 years with ADC and without significant family history",14.0,12.0,86.0,"",68
75,"Neuroblastoma","Pediatric cases",83.0,7.0,8.4,"Only c.1010G>A;p.R337H mutation analyzed (0.3% frequency in Brazilian population)",314
76,"Breast ca.","Hereditary BC: BC < 35  years+one relative with any cancer, or BC at 35-50 years+two relatives with any cancer, or BC > 50  years+three relatives with any cancer",99.0,3.0,3.0,"",315
77,"Colorectal ca.","Population-based and clinic-based CRC <= 40 years lacking a known hereditary cancer syndrome",457.0,6.0,1.3,"",316
