"Prevalence_ID","Ref_ID","Topo_code","Morpho_ID","Sample_analyzed","Sample_mutated","Country_ID","Comment"
1,24,"C15",53,14,5,15,""
2,26,"C15",3,10,5,6,""
3,27,"C15",53,34,15,53,""
4,29,"C16",3,14,9,36,""
5,51,"C25",103,14,6,36,""
6,68,"C34",41,30,14,36,""
7,69,"C16",103,10,5,36,""
8,69,"C15",53,5,4,36,""
9,77,"C50",340,24,11,19,""
10,86,"C18-C20",103,14,8,36,""
11,91,"C50",16,49,7,54,"Invasive cancers"
12,92,"C50",3,13,2,54,""
13,132,"C15",53,6,2,6,"p53 IHC positive tumors"
14,134,"C16",100,10,3,36,""
15,134,"C16",16,1,1,36,"Carcinoma in adenoma"
16,139,"C15",16,24,12,19,""
17,151,"C16",3,14,7,36,""
18,152,"C00-C14",53,30,16,54,""
19,168,"C15",3,26,10,36,""
20,180,"C16",3,118,37,36,""
21,190,"C16",3,29,15,19,""
22,197,"C15",16,25,14,85,""
23,218,"C55",103,28,7,37,""
24,220,"C00-C14",3,58,13,50,""
25,224,"C16",3,30,16,36,""
26,249,"C15",53,32,27,15,""
27,259,"C00-C14",53,45,11,54,""
28,340,"C25",3,57,20,19,""
29,349,"C15",1040,14,9,54,""
30,350,"C25",103,27,19,54,""
31,371,"C16",3,56,7,23,""
32,378,"C15",53,15,10,54,""
33,413,"C25",3,30,8,85,""
35,439,"C32",53,40,13,22,""
36,444,"C00-C14",53,28,18,15,""
37,448,"C00-C14",53,129,54,54,""
38,455,"C16",3,9,3,19,""
39,464,"C34",41,91,42,54,""
40,468,"C16",103,34,22,19,""
41,480,"C15",53,8,4,6,""
42,480,"C16",103,14,6,6,""
43,494,"C25",103,37,16,36,""
44,504,"C16",100,18,5,36,""
45,522,"C15",103,16,11,18,""
46,525,"C16",100,30,0,36,""
47,525,"C16",103,72,25,36,""
48,526,"C16",3,56,21,85,""
49,579,"C16",3,53,24,19,""
51,606,"C16",3,80,18,50,""
52,621,"C15",16,209,87,7,""
53,629,"C06",16,53,11,32,""
54,632,"C06",53,80,39,25,""
55,642,"C16",16,31,6,19,""
56,647,"C06",53,23,6,36,""
57,665,"C15",1033,17,3,6,"Basal cell hyperplasia"
58,665,"C15",1041,13,3,6,""
59,667,"C25",103,71,28,10,"+ 1 SNP deleted"
60,677,"C34",41,154,88,54,""
61,677,"C50",2,93,24,54,""
62,677,"C56",3,108,62,54,""
63,683,"C17",103,15,4,36,""
64,705,"C00-C14",53,27,9,29,""
65,723,"C00-C14",53,46,19,16,""
68,804,"C16",16,46,20,36,""
69,809,"C15",53,70,25,7,""
70,859,"C16",3,40,16,19,""
71,881,"C15",53,16,8,51,""
72,899,"C18",103,40,19,36,""
73,902,"C15",53,23,17,6,""
74,902,"C15",103,5,2,6,""
75,910,"C15",3,33,12,6,""
76,973,"C16",103,32,10,36,""
77,973,"C15",53,5,4,36,""
78,991,"C15",103,1,1,54,""
79,991,"C15",53,9,7,54,""
80,1010,"C15",16,42,19,54,""
81,1032,"C15",53,76,13,47,""
83,1053,"C15",103,14,2,24,""
84,1075,"C16",108,28,12,19,""
85,1075,"C16",109,57,12,19,""
86,1075,"C16",103,18,9,19,""
87,1187,"C25",103,68,20,54,""
88,1093,"C06",53,55,14,47,""
89,1172,"C16",3,100,35,54,""
91,1238,"C15",103,16,7,54,""
92,1261,"C22",137,31,15,6,""
93,1276,"C16",3,30,11,36,""
94,1282,"C06",53,72,16,32,""
95,1332,"C08",16,19,7,21,""
97,1335,"C66",89,88,22,36,""
98,1342,"C71",835,136,49,25,""
99,1343,"C00-C14",53,22,15,29,""
100,1346,"C50",16,76,30,36,""
101,1347,"C10",53,38,23,36,""
102,1348,"C50",3,63,13,10,""
103,1352,"C15",16,138,78,36,""
104,1355,"C15",16,56,47,15,""
105,1356,"C15",53,17,7,6,""
