"Prognosis_ID","Ref_ID","Country_ID","Institution","Period","Topo_code","Morpho_ID","Cohort","P53_mutation","MedianFU","RangeFU","InclusionCriteria","Treatment","Parameter_analysed","Result","LOH","Polymorphism","Individual_data","Association","Bad_mutations","WT_Mut","Mut_Mut","Structure"
1,1425,1,"Charles Gairdner (Perth), Royal Perth Hospital, Flinders Medical Center (South Australia)","1987-1997","C50",3,1037,178,65.0,"1-120","consecutive primary cancers","SU, CX/RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@41b0225d",false,false,true,"associated with bad","exon 4",true,false,true
2,1346,36,"Hokkaido University Hospital, Sapporo","1991-1996","C50",3,76,30,43.0,"6-81","consecutive primary cancers","CX (5FU;TAM;LH-RH)","survival","net.sourceforge.jtds.jdbc.ClobImpl@657588cb",false,false,true,"associated with bad","DNA contact",true,false,false
3,234,21,"Norwegian Radium Hospital, Oslo","1984-1989","C50",3,163,35,38.3,"0.1-94.1","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@7169d749",false,false,false,"associated with bad","",true,false,false
4,193,31,"University Hospital of Iceland, Reykjavik","<1993","C50",3,109,18,32.0,"0-60","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@3caaa616",true,false,false,"associated with bad","",true,false,false
5,1544,21,"Norwegian Radium Hospital, Oslo","","C50",16,90,26,,"","localy advanced cancer (T3/4 and/or N2); prospective study","CX (doxo)","response","net.sourceforge.jtds.jdbc.ClobImpl@7cc8d914",true,false,true,"associated with bad","L2/L3 loops",true,true,true
6,1641,25,"University of Uppsala","1987-1989","C50",3,315,69,,"0-90","consecutive primary cancers","SU, RX, CX (5FU, MTX, CP)","survival","net.sourceforge.jtds.jdbc.ClobImpl@35b23596",false,false,false,"associated with bad","conserved regions II and V",true,false,false
7,1003,27,"Rotterdam Cancer Institute","1978-1991","C50",3,177,53,115.0,"47-183","consecutive primary cancers","SU, CX (CMF; CAF); TAM","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@a5e7ff6",false,true,true,"associated with bad","DNA contact",true,false,true
8,1642,54,"Mayo Clinic, Rochester","","C50",3,90,32,,"0-60","consecutive primary cancers; prospective study","SU, CX (CMF, CAF)","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@632df2bd",true,false,false,"associated with bad","",true,false,false
9,1392,13,"Aarhus University Hospital","1992-1994","C50",3,315,74,,"0-60","consecutive primary cancers; retrospective study","SU, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@591797b5",false,false,false,"associated with bad","DNA/Zn binding",true,true,true
10,1173,10,"Vienna Medical School","1984-1990","C50",3,205,42,107.0,"0-168","consecutive primary cancers; ER pos.","SU, CX (CMF)","survival","net.sourceforge.jtds.jdbc.ClobImpl@7dad1784",false,false,false,"associated with bad","L2/L3 loops",true,true,true
11,1052,15,"Centre Leon Berard, Lyon","","C50",3,113,18,105.0,"0-250","consecutive primary cancers","SU, RX, CX (CAF)","survival","net.sourceforge.jtds.jdbc.ClobImpl@4f57608",false,false,false,"associated with bad","",true,false,false
12,327,54,"Vanderbilt University Hospital, Nashville","1982-1991","C50",3,192,43,48.0,"12-124","consecutive primary cancers","SU, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@8c1c431",false,false,false,"not related to","",true,true,true
13,1424,1,"Charles Gairdner, Perth","1985-1997","C18-C20",3,765,289,102.0,"33-178","retrospective study","SU, CX (5FU; levamisole)","survival","net.sourceforge.jtds.jdbc.ClobImpl@6d0e50a3",false,false,true,"not related to","",true,true,true
14,1643,14,"National cancer registry","","C20",3,98,38,32.0,"0-306","female; case-control for RX (cervical cancer 10 years before RC)","","survival","net.sourceforge.jtds.jdbc.ClobImpl@780a7bb1",false,false,false,"not related to","",true,false,false
15,1644,25,"University Hospital, Umea","1988-1992","C18-C20",3,189,99,,"0-106","consecutive primary cancers","SU, pre-op RX in 28 RC","survival","net.sourceforge.jtds.jdbc.ClobImpl@5760078e",false,false,false,"associated with bad","non-conserved regions",true,true,false
16,918,21,"Hospitals in Oslo region","1987-1989","C18-C20",3,222,102,56.8,"0.5-92.2","consecutive primary cancers","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@5186a11f",true,false,false,"associated with bad","L3 loop",true,true,true
17,555,46,"Singapore General Hospital","","C18-C20",3,192,109,24.0,"0-60","consecutive single ADC","SU, RX/CX in 54 patients","survival","net.sourceforge.jtds.jdbc.ClobImpl@4e1268c4",false,false,true,"associated with bad","non-conserved regions, codon 175",true,true,false
18,1645,54,"University of Texas Health Science Center, San Antonio","1993-1995","C18-C20",3,56,28,45.0,"3-72","consecutive primary cancers; prospective study","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@65ee4544",false,false,false,"associated with bad","",true,false,false
19,1524,27,"University Hospital Groningen","1991-1993","C18-C20",3,55,24,47.0,"32-66","consecutive primary cancers","SU, CX (5FU)","survival","net.sourceforge.jtds.jdbc.ClobImpl@32e56200",false,false,false,"not related to","",true,false,false
20,1646,21,"Norwegian National Hospital; Haukeland Hospital (Oslo)","1988-1996","C34",41,148,83,35.0,"0-144","consecutive primary cancers; prospective study","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@560fb31a",false,false,false,"associated with bad","L2/L3 loops",true,true,true
21,823,36,"Kitano Hospital; The Center for adlut disease (Osaka)","1991-1995","C34",41,204,75,31.9,"0-60","consecutive primary cancers; excluding stage 4","SU, RX, CX (Vindesine, CISP)","survival","net.sourceforge.jtds.jdbc.ClobImpl@b86a557",false,false,true,"associated with bad","exon 8",true,true,true
22,511,27,"The Netherlands Cancer Institute, Amsterdam","","C34",41,54,37,,"0-70","consecutive primary cancers","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@1c551506",false,false,false,"not related to","",true,false,false
23,1314,36,"Cancer Institute Hospital, Tokyo","1989-1993","C34",41,144,65,61.0,"2-84","consecutive primary cancers","SU, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@5b991ee",false,false,true,"associated with bad","null mutations",true,false,false
24,1204,36,"National Cancer Hospital, Tokyo","1985-1994","C34",41,103,49,51.8,"5-151","consecutive primary cancers; stage 1","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@2e057520",true,false,false,"associated with bad","missense mutations",true,false,false
25,1647,85,"Cologne, Munich (Germany); Houston (USA)","","C34",41,103,46,86.8,"63.5-105.2","retrospective study","SU, RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@1017d1aa",false,false,false,"not related to","",true,false,false
26,1352,36,"Kurume University School of Medecine, Hokkaido,","1989-1996","C15",53,138,78,28.0,"1-104","consecutive primary cancers","SU, CX/RX","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@24de0b8b",false,false,true,"associated with bad","L2/L3 loops",true,false,true
27,1484,13,"Aarhus University Hospital","1992-1996","C00-C14",53,114,45,,"0-60","consecutive primary cancers; retrospective study","SU, RX","survival","net.sourceforge.jtds.jdbc.ClobImpl@6da1d81f",false,false,false,"associated with bad","",true,false,false
28,1572,85,"University of Southern California School of Medicine; Humboldt-University of Berlin","1972-1995","C56",3,178,99,31.0,"1-144","consecutive primary cancers","SU, CX","survival/response","net.sourceforge.jtds.jdbc.ClobImpl@68880cfe",false,false,false,"associated with bad","conserved regions",true,true,true
29,1648,54,"University of Iowa Hospitals and Clinics","1990-1996","C56",3,171,98,40.8,"0-106.8","consecutive primary cancers","SU, CX","survival","net.sourceforge.jtds.jdbc.ClobImpl@46bc0ac4",false,false,false,"associated with bad","",true,true,false
30,1540,15,"Multicenter study","1994-1996","C18-C20",3,56,35,18.7,"0-60","liver metastasis from CRC; prospective study","SU, CX (5FU)","response","net.sourceforge.jtds.jdbc.ClobImpl@12ead3cb",false,false,true,"not related to","",true,false,false
31,1318,15,"Hopital Tenon, Paris","1992-1995","C00-C14",53,105,40,,"","consecutive primary cancers","CX (5FU;CISP)","response","net.sourceforge.jtds.jdbc.ClobImpl@71e880a9",false,false,true,"associated with bad","DNA contact",true,false,false
32,1319,15,"Laennec Hospital, Paris","1996-1997","C00-C14",53,106,72,,"","consecutive primary cancers; prospective study","CX (5FU;CISP)","response","net.sourceforge.jtds.jdbc.ClobImpl@59af8d96",true,false,true,"associated with bad","",true,false,false
33,667,10,"University of Innsbruck","1977-1987","C25",3,71,29,14.8,"1-69","consecutive primary cancers","","survival","net.sourceforge.jtds.jdbc.ClobImpl@7fe3464d",false,false,true,"associated with bad","",true,false,false
34,1014,21,"Norwegian Radium Hospital, Oslo","","C56",3,45,29,,"","advanced epithelial ovarian cancers","SU, CX (paclitaxel/CISP; CP/CISP)","response","net.sourceforge.jtds.jdbc.ClobImpl@3b53a6f1",false,false,true,"not related to","",true,false,false
35,1649,24,"Hospital de Sant Pau, Barcelona","1991-1993","C18-C20",3,132,66,,"0-60","consecutive primary cancers; prospective study","SU, CX and/or RX for 32 patients","survival","net.sourceforge.jtds.jdbc.ClobImpl@e0b84fa",false,false,false,"not related to","",true,false,false
36,1650,36,"Nihon University School of Medecine, Tokyo","1989-1997","C18-C20",3,106,39,65.0,"38-136","consecutive primary cancers","SU, CX (5FU) for a few patients","survival","net.sourceforge.jtds.jdbc.ClobImpl@2bed6b90",false,false,false,"associated with bad","",true,false,false
37,1651,16,"Technische Universitat Munchen, Munich","","C15",103,49,21,44.1,"0-96","prospective study; Barrett's carcinoma","SU","survival","net.sourceforge.jtds.jdbc.ClobImpl@4ed9818e",false,false,false,"associated with bad","",true,false,false
