"Ref_ID","Cross_Ref_ID","Data_source","Title","Authors","Abstract_old","Abstract","S_Ref_Year","Journal","Volume","Start_page","End_page","Address","PubMed_entry","PubMed","Exclude_analysis","WGS_WXS","Comment","Tissue_processing","Start_material","Prescreening","Material_sequenced","Confirmation","exon2","exon3","exon4","exon5","exon6","exon7","exon8","exon9","exon10","exon11"
1,,"journal","Chromosome 17 deletions and p53 gene mutations in colorectal carcinomas","net.sourceforge.jtds.jdbc.ClobImpl@26579888","net.sourceforge.jtds.jdbc.ClobImpl@3fcb47f8","net.sourceforge.jtds.jdbc.ClobImpl@65983829",1989,"Science",244,217,221,"net.sourceforge.jtds.jdbc.ClobImpl@6a5079a2","PM:0002649981","0002649981",false,"No","Add info from J. Field","frozen","RNA","RFLP","cloned",true,true,true,true,true,true,false,true,true,true,true
2,,"journal","Genetic and immunochemical analysis of mutant p53 in human breast cancer cell lines","net.sourceforge.jtds.jdbc.ClobImpl@70d93fb8","net.sourceforge.jtds.jdbc.ClobImpl@154842dc","net.sourceforge.jtds.jdbc.ClobImpl@31b5692c",1990,"Oncogene",5,893,899,"net.sourceforge.jtds.jdbc.ClobImpl@58c18bd1","PM:0001694291","0001694291",false,"No","","","RNA","none","direct",false,true,true,true,true,true,true,true,true,true,true
3,,"journal","Selective G to T mutations of p53 gene in hepatocellular carcinoma from southern Africa","net.sourceforge.jtds.jdbc.ClobImpl@615c5b8e","net.sourceforge.jtds.jdbc.ClobImpl@3655bbdb","net.sourceforge.jtds.jdbc.ClobImpl@2cb35834",1991,"Nature",350,429,431,"net.sourceforge.jtds.jdbc.ClobImpl@7878d170","PM:0001672732","0001672732",false,"No","","","DNA","none","direct",false,false,false,false,true,true,true,true,false,false,false
4,,"journal","p53 gene mutations in Barrett's epithelium and esophageal cancer","net.sourceforge.jtds.jdbc.ClobImpl@7bfb65da","net.sourceforge.jtds.jdbc.ClobImpl@606b921d","net.sourceforge.jtds.jdbc.ClobImpl@562f04dc",1991,"Cancer Res",51,4495,4499,"net.sourceforge.jtds.jdbc.ClobImpl@68e2bc38","PM:0001868473","0001868473",false,"No","","fixed","DNA","SSCP","cloned",false,false,false,false,true,true,true,true,false,false,false
5,5,"journal","p53 mutations in colorectal cancer","net.sourceforge.jtds.jdbc.ClobImpl@4817c14b","net.sourceforge.jtds.jdbc.ClobImpl@7450592e","net.sourceforge.jtds.jdbc.ClobImpl@5af7ba9c",1990,"Proc Natl Acad Sci U S A",87,7555,7559,"net.sourceforge.jtds.jdbc.ClobImpl@2709de86","PM:0001699228","0001699228",false,"No","See ref 7","","RNA","Mismatch cleavage","",false,false,false,false,true,true,true,true,false,false,false
6,6,"journal","Efficient screening of p53 mutations by denaturing gradient gel electrophoresis in colorectal tumors","net.sourceforge.jtds.jdbc.ClobImpl@51625eb5","net.sourceforge.jtds.jdbc.ClobImpl@270de49e","net.sourceforge.jtds.jdbc.ClobImpl@404989b9",1993,"Oncogene",8,2213,2220,"net.sourceforge.jtds.jdbc.ClobImpl@29dd82d8","PM:0008336944","0008336944",false,"No","Mutations reported in ref 759, added info from Kovar H, 1993 (STA-ET-2.1)","","DNA","DGGE","direct",false,false,false,false,true,true,true,true,false,false,false
7,7,"journal","Mutations in the p53 gene occur in diverse human tumour types","net.sourceforge.jtds.jdbc.ClobImpl@6a09f6a0","net.sourceforge.jtds.jdbc.ClobImpl@22e8d66b","net.sourceforge.jtds.jdbc.ClobImpl@2e6097ce",1989,"Nature",342,705,708,"net.sourceforge.jtds.jdbc.ClobImpl@6bee0b98","PM:0002531845","0002531845",false,"No","See ref 19","","RNA","none","cloned",false,true,true,true,true,true,true,true,true,true,true
8,,"journal","Aberrations of the tumor suppressor p53 and retinoblastoma genes in human hepatocellular carcinomas","net.sourceforge.jtds.jdbc.ClobImpl@4ef75cb3","net.sourceforge.jtds.jdbc.ClobImpl@2ac88088","net.sourceforge.jtds.jdbc.ClobImpl@bcbcf8",1991,"Cancer Res",51,5520,5525,"net.sourceforge.jtds.jdbc.ClobImpl@1b95d5bc","PM:0001655254","0001655254",false,"No","","frozen","DNA","SSCP","direct",false,true,true,true,true,true,true,true,true,true,true
9,9,"journal","Detection of aberrations of the p53 alleles and the gene transcript in human tumor cell lines by single-strand conformation polymorphism analysis","net.sourceforge.jtds.jdbc.ClobImpl@6f7300b9","net.sourceforge.jtds.jdbc.ClobImpl@1d1111f","net.sourceforge.jtds.jdbc.ClobImpl@64ef26a1",1991,"Cancer Res",51,3356,3361,"net.sourceforge.jtds.jdbc.ClobImpl@516237b5","PM:0002054775","0002054775",false,"No","Updated with ref 232","","DNA","SSCP","direct",false,true,true,true,true,true,true,true,true,true,true
10,,"journal","Mechanisms of p53 loss in human sarcomas","net.sourceforge.jtds.jdbc.ClobImpl@266383e8","net.sourceforge.jtds.jdbc.ClobImpl@2f3337d2","net.sourceforge.jtds.jdbc.ClobImpl@3274c6bb",1990,"Proc Natl Acad Sci U S A",87,5863,5867,"net.sourceforge.jtds.jdbc.ClobImpl@72eb90df","PM:0002143022","0002143022",false,"No","","","RNA","none","cloned",true,false,false,false,true,true,true,true,false,false,false
